instrument,entry_time,exit_time,direction,entry_price,exit_price,sl_price,units,risk_gbp,pnl,exit_reason,equity_after
DE30_EUR,2026-02-10 03:00:00+00:00,2026-02-10 15:00:00+00:00,LONG,25000.0,25017.0,24919.96295,2,150.0,29.0598,EOD,165012.2198
USD_CHF,2026-02-10 06:00:00+00:00,2026-02-10 14:00:00+00:00,SHORT,0.76748,0.76352,0.76632,127031,150.0,514.7241,EXIT_MODEL,165526.9439
EUR_USD,2026-02-10 06:00:00+00:00,2026-02-11 00:00:00+00:00,LONG,1.19031,1.18866,1.18866,90909,150.0,-117.1874,SL,165409.7565
USD_JPY,2026-02-10 06:00:00+00:00,2026-02-10 14:00:00+00:00,SHORT,155.41,154.389,154.9398,63460,150.0,327.8683,EXIT_MODEL,165737.6248
AUD_USD,2026-02-10 06:00:00+00:00,2026-02-11 01:00:00+00:00,LONG,0.70684,0.70951,0.70738,277778,150.0,579.4275,EXIT_MODEL,166317.0523
NAS100_USD,2026-02-10 11:00:00+00:00,2026-02-10 20:00:00+00:00,SHORT,25300.8,25151.0,25402.19,2,150.0,234.0625,EOD,166551.1148
SPX500_USD,2026-02-10 11:00:00+00:00,2026-02-10 20:00:00+00:00,SHORT,6976.6,6946.9,6995.03573,5,150.0,116.0156,EOD,166667.1304
DE30_EUR,2026-02-11 03:00:00+00:00,2026-02-11 08:00:00+00:00,SHORT,25052.0,24901.5,25013.59404,2,150.0,257.265,EXIT_MODEL,166924.3954
USD_CHF,2026-02-11 05:00:00+00:00,2026-02-11 13:00:00+00:00,LONG,0.76552,0.76753,0.76753,73124,150.0,149.6066,TRAIL_SL,167074.002
EUR_USD,2026-02-11 10:00:00+00:00,2026-02-11 13:00:00+00:00,SHORT,1.19219,1.18952,1.18952,56180,150.0,117.188,TRAIL_SL,167191.19
GBP_USD,2026-02-11 10:00:00+00:00,2026-02-11 13:00:00+00:00,SHORT,1.37066,1.36813,1.36813,59289,150.0,117.1884,TRAIL_SL,167308.3784
NAS100_USD,2026-02-11 11:00:00+00:00,2026-02-11 13:00:00+00:00,LONG,25141.0,25197.64895,25197.64895,2,150.0,88.514,TRAIL_SL,167396.8924
SPX500_USD,2026-02-11 13:00:00+00:00,2026-02-11 15:00:00+00:00,SHORT,6990.0,6949.0,6987.89845,5,150.0,160.1562,EXIT_MODEL,167557.0486
AUD_USD,2026-02-12 00:00:00+00:00,2026-02-12 16:00:00+00:00,SHORT,0.71362,0.71267,0.71267,157895,150.0,117.1877,TRAIL_SL,167674.2363
USD_CHF,2026-02-12 04:00:00+00:00,2026-02-12 11:00:00+00:00,SHORT,0.77144,0.76691,0.77047,152697,150.0,704.6514,EXIT_MODEL,168378.8877
DE30_EUR,2026-02-12 04:00:00+00:00,2026-02-12 09:00:00+00:00,LONG,24976.6,25205.0,25069.22671,2,150.0,390.4274,EXIT_MODEL,168769.3151
GBP_USD,2026-02-12 05:00:00+00:00,2026-02-12 14:00:00+00:00,LONG,1.36219,1.36647,1.36235,937500,150.0,3134.7656,EXIT_MODEL,171904.0807
EUR_USD,2026-02-12 06:00:00+00:00,2026-02-13 06:00:00+00:00,LONG,1.18606,1.18561,1.18409,76142,150.0,-26.7687,MAX_BARS,171877.312
SPX500_USD,2026-02-12 11:00:00+00:00,2026-02-12 15:00:00+00:00,SHORT,6968.8,6945.69185,6945.69185,5,150.0,90.2662,TRAIL_SL,171967.5782
NAS100_USD,2026-02-12 11:00:00+00:00,2026-02-12 15:00:00+00:00,SHORT,25300.2,25131.44237,25131.44237,1,150.0,131.8419,TRAIL_SL,172099.4201
USD_JPY,2026-02-13 00:00:00+00:00,2026-02-13 08:00:00+00:00,LONG,152.766,153.583,152.98025,136901,150.0,568.9519,EXIT_MODEL,172668.372
AUD_USD,2026-02-13 01:00:00+00:00,2026-02-13 11:00:00+00:00,SHORT,0.7087,0.70504,0.708,214286,150.0,612.724,EXIT_MODEL,173281.096
DE30_EUR,2026-02-13 04:00:00+00:00,2026-02-13 15:00:00+00:00,SHORT,24944.0,24901.0,25046.09028,2,150.0,73.5043,EOD,173354.6003
GBP_USD,2026-02-13 05:00:00+00:00,2026-02-13 20:00:00+00:00,LONG,1.3604,1.36566,1.36207,89820,150.0,369.1041,FRIDAY_CLOSE,173723.7044
USD_CHF,2026-02-13 07:00:00+00:00,2026-02-13 20:00:00+00:00,SHORT,0.77056,0.76784,0.77212,94838,150.0,262.4645,FRIDAY_CLOSE,173986.1689
EUR_USD,2026-02-13 10:00:00+00:00,2026-02-13 20:00:00+00:00,LONG,1.18574,1.18745,1.1843,104167,150.0,139.1606,FRIDAY_CLOSE,174125.3295
NAS100_USD,2026-02-13 10:00:00+00:00,2026-02-13 14:00:00+00:00,LONG,24663.0,24525.72525,24525.72525,1,150.0,-107.2459,SL,174018.0836
SPX500_USD,2026-02-13 11:00:00+00:00,2026-02-13 20:00:00+00:00,LONG,6822.2,6836.9,6793.96203,5,150.0,57.4219,EOD,174075.5055
EUR_USD,2026-02-15 22:00:00+00:00,2026-02-16 22:00:00+00:00,SHORT,1.18708,1.18506,1.18882,86207,150.0,136.0454,MAX_BARS,174211.5509
