instrument,entry_time,exit_time,direction,entry_price,exit_price,sl_price,units,risk_gbp,pnl,exit_reason,equity_after
EUR_USD,2026-01-16 11:00:00+00:00,2026-01-16 15:00:00+00:00,SHORT,1.16193,1.1617,1.1617,1471009,338.332,264.3219,TRAIL_SL,169430.3206
USD_JPY,2026-01-16 14:00:00+00:00,2026-01-16 20:00:00+00:00,LONG,157.912,158.08,157.62055,235008,338.8606,195.1215,FRIDAY_CLOSE,169625.4421
AUD_USD,2026-01-18 22:00:00+00:00,2026-01-18 23:00:00+00:00,LONG,0.66716,0.66731,0.66731,2261673,339.2509,265.0398,TRAIL_SL,169890.4819
USD_JPY,2026-01-18 22:00:00+00:00,2026-01-18 23:00:00+00:00,LONG,157.874,157.59767,157.59767,248480,339.781,-339.781,SL,169550.7009
EUR_USD,2026-01-18 22:00:00+00:00,2026-01-18 23:00:00+00:00,LONG,1.15844,1.15935,1.15935,372639,339.1014,264.923,TRAIL_SL,169815.6239
GBP_USD,2026-01-18 22:00:00+00:00,2026-01-18 23:00:00+00:00,LONG,1.33556,1.33667,1.33667,305974,339.6312,265.3368,TRAIL_SL,170080.9607
USD_JPY,2026-01-19 00:00:00+00:00,2026-01-19 07:00:00+00:00,LONG,157.475,158.08,157.64968,392522,340.1619,1173.6335,EXIT_MODEL,171254.5942
DE30_EUR,2026-01-19 06:00:00+00:00,2026-01-19 15:00:00+00:00,LONG,24977.6,24974.0,24872.38373,4,342.5092,-12.3077,EOD,171242.2865
NAS100_USD,2026-01-19 08:00:00+00:00,2026-01-19 23:00:00+00:00,SHORT,25262.8,25258.6,25362.38739,4,342.4846,13.125,EOD,171255.4115
USD_CHF,2026-01-19 14:00:00+00:00,2026-01-20 07:00:00+00:00,LONG,0.79682,0.79518,0.79518,213010,342.5108,-342.5108,SL,170912.9007
AUD_USD,2026-01-20 00:00:00+00:00,2026-01-20 04:00:00+00:00,LONG,0.67099,0.67378,0.67256,217723,341.8258,474.5681,EXIT_MODEL,171387.4688
DE30_EUR,2026-01-20 01:00:00+00:00,2026-01-20 08:00:00+00:00,SHORT,24956.6,24846.24807,24846.24807,4,342.7749,377.2716,TRAIL_SL,171764.7404
USD_JPY,2026-01-20 06:00:00+00:00,2026-01-20 08:00:00+00:00,SHORT,158.418,158.18577,158.18577,299958,343.5295,344.034,TRAIL_SL,172108.7744
GBP_USD,2026-01-20 06:00:00+00:00,2026-01-20 07:00:00+00:00,LONG,1.34352,1.34475,1.34475,279852,344.2175,268.9203,TRAIL_SL,172377.6947
SPX500_USD,2026-01-20 11:00:00+00:00,2026-01-20 15:00:00+00:00,SHORT,6843.2,6864.81288,6864.81288,20,344.7554,-337.7013,SL,172039.9934
NAS100_USD,2026-01-20 15:00:00+00:00,2026-01-20 20:00:00+00:00,SHORT,25243.2,25025.4,25376.02818,3,344.08,510.4687,EOD,172550.4621
GBP_USD,2026-01-21 01:00:00+00:00,2026-01-21 10:00:00+00:00,SHORT,1.34522,1.34074,1.34469,651134,345.1009,2278.969,EXIT_MODEL,174829.4311
USD_CHF,2026-01-21 01:00:00+00:00,2026-01-21 19:00:00+00:00,LONG,0.78943,0.79564,0.792,137479,349.6589,838.3037,EXIT_MODEL,175667.7348
USD_JPY,2026-01-21 02:00:00+00:00,2026-01-21 23:00:00+00:00,LONG,157.917,158.462,158.04976,534926,351.3355,1437.3254,EXIT_MODEL,177105.0602
AUD_USD,2026-01-21 02:00:00+00:00,2026-01-21 12:00:00+00:00,LONG,0.67358,0.67518,0.67518,221381,354.2101,276.7263,TRAIL_SL,177381.7865
NAS100_USD,2026-01-21 10:00:00+00:00,2026-01-21 11:00:00+00:00,LONG,25037.4,24933.68223,24933.68223,4,354.7636,-324.118,SL,177057.6685
SPX500_USD,2026-01-21 11:00:00+00:00,2026-01-21 14:00:00+00:00,LONG,6794.0,6810.92743,6810.92743,27,354.1153,357.063,TRAIL_SL,177414.7315
EUR_USD,2026-01-21 12:00:00+00:00,2026-01-21 23:00:00+00:00,SHORT,1.17349,1.1673,1.17124,157702,354.8295,762.637,EXIT_MODEL,178177.3685
USD_JPY,2026-01-22 00:00:00+00:00,2026-01-22 06:00:00+00:00,LONG,158.242,158.778,158.37218,554460,356.3547,1462.2941,EXIT_MODEL,179639.6626
USD_CHF,2026-01-22 05:00:00+00:00,2026-01-22 20:00:00+00:00,SHORT,0.79468,0.78962,0.79328,261040,359.2793,1306.8612,EXIT_MODEL,180946.5238
GBP_USD,2026-01-22 06:00:00+00:00,2026-01-22 11:00:00+00:00,LONG,1.34258,1.34046,1.34046,170704,361.893,-282.7285,SL,180663.7953
EUR_USD,2026-01-22 08:00:00+00:00,2026-01-22 16:00:00+00:00,LONG,1.1689,1.17388,1.17029,259948,361.3276,1011.3602,EXIT_MODEL,181675.1555
NAS100_USD,2026-01-22 09:00:00+00:00,2026-01-22 20:00:00+00:00,SHORT,25585.2,25549.2,25722.0199,3,363.3503,84.375,EOD,181759.5305
DE30_EUR,2026-01-22 09:00:00+00:00,2026-01-22 15:00:00+00:00,SHORT,24950.0,24876.0,25078.08641,3,363.5191,189.7436,EOD,181949.2741
SPX500_USD,2026-01-22 13:00:00+00:00,2026-01-22 20:00:00+00:00,SHORT,6933.0,6921.4,6957.06763,19,363.8985,172.1875,EOD,182121.4616
AUD_USD,2026-01-23 02:00:00+00:00,2026-01-23 14:00:00+00:00,LONG,0.68409,0.68488,0.68488,461067,364.2429,284.5648,TRAIL_SL,182406.0264
USD_JPY,2026-01-23 06:00:00+00:00,2026-01-23 07:00:00+00:00,SHORT,158.872,158.76295,158.76295,680301,364.8121,365.0629,TRAIL_SL,182771.0893
GBP_USD,2026-01-23 06:00:00+00:00,2026-01-23 15:00:00+00:00,LONG,1.34838,1.35644,1.35287,81413,365.5422,512.6475,EXIT_MODEL,183283.7368
DE30_EUR,2026-01-23 07:00:00+00:00,2026-01-23 15:00:00+00:00,LONG,24860.6,24938.0,24777.06179,5,366.5675,330.7692,EOD,183614.506
USD_CHF,2026-01-23 07:00:00+00:00,2026-01-23 17:00:00+00:00,SHORT,0.79049,0.7858,0.78851,187663,367.229,875.0432,EXIT_MODEL,184489.5492
EUR_USD,2026-01-23 09:00:00+00:00,2026-01-23 17:00:00+00:00,LONG,1.17354,1.17944,1.1764,129014,368.9791,594.6739,EXIT_MODEL,185084.2231
NAS100_USD,2026-01-23 09:00:00+00:00,2026-01-23 15:00:00+00:00,LONG,25446.6,25714.2,25518.54174,7,370.1684,1463.4375,EXIT_MODEL,186547.6606
SPX500_USD,2026-01-23 13:00:00+00:00,2026-01-23 20:00:00+00:00,LONG,6902.4,6921.0,6883.2949,25,373.0953,363.2813,EOD,186910.9419
USD_JPY,2026-01-25 22:00:00+00:00,2026-01-26 00:00:00+00:00,SHORT,154.599,155.31929,155.31929,102701,373.8219,-372.0889,SL,186538.853
USD_JPY,2026-01-26 00:00:00+00:00,2026-01-26 09:00:00+00:00,SHORT,154.844,153.67,154.6987,508907,373.0777,3037.4383,EXIT_MODEL,189576.2913
DE30_EUR,2026-01-26 02:00:00+00:00,2026-01-26 13:00:00+00:00,LONG,24769.6,24949.0,24792.43518,19,379.1526,2913.3333,EXIT_MODEL,192489.6246
AUD_USD,2026-01-26 03:00:00+00:00,2026-01-26 14:00:00+00:00,LONG,0.69127,0.69396,0.69142,2566528,384.9792,5393.719,EXIT_MODEL,197883.3436
GBP_USD,2026-01-26 06:00:00+00:00,2026-01-26 15:00:00+00:00,LONG,1.36562,1.37078,1.36601,1014786,395.7667,4090.8561,EXIT_MODEL,201974.1997
USD_CHF,2026-01-26 06:00:00+00:00,2026-01-27 06:00:00+00:00,SHORT,0.77792,0.77755,0.7805,155902,403.9484,57.9582,MAX_BARS,202032.1579
EUR_USD,2026-01-26 07:00:00+00:00,2026-01-26 15:00:00+00:00,LONG,1.18388,1.18954,1.18402,2886174,404.0643,12762.3007,EXIT_MODEL,214794.4586
SPX500_USD,2026-01-26 09:00:00+00:00,2026-01-26 15:00:00+00:00,LONG,6903.8,6959.0,6915.92285,45,429.5889,1940.625,EXIT_MODEL,216735.0836
NAS100_USD,2026-01-26 10:00:00+00:00,2026-01-26 16:00:00+00:00,LONG,25540.8,25795.8,25570.46394,19,433.4702,3785.1562,EXIT_MODEL,220520.2398
AUD_USD,2026-01-27 00:00:00+00:00,2026-01-27 14:00:00+00:00,LONG,0.69082,0.696,0.69395,140908,441.0405,570.2371,EXIT_MODEL,221090.4769
GBP_USD,2026-01-27 04:00:00+00:00,2026-01-27 14:00:00+00:00,LONG,1.36748,1.37707,1.37306,79244,442.181,593.7109,EXIT_MODEL,221684.1878
DE30_EUR,2026-01-27 04:00:00+00:00,2026-01-27 15:00:00+00:00,SHORT,25024.0,24937.0,25089.54463,8,443.3684,594.8718,EOD,222279.0596
USD_CHF,2026-01-27 06:00:00+00:00,2026-01-27 12:00:00+00:00,SHORT,0.77755,0.77098,0.77498,172161,444.5581,1146.1648,EXIT_MODEL,223425.2244
USD_JPY,2026-01-27 07:00:00+00:00,2026-01-27 09:00:00+00:00,SHORT,154.734,154.37671,154.37671,247706,446.8504,447.8841,TRAIL_SL,223873.1085
EUR_USD,2026-01-27 08:00:00+00:00,2026-01-27 12:00:00+00:00,LONG,1.18608,1.19281,1.18843,190530,447.7462,1001.771,EXIT_MODEL,224874.8795
NAS100_USD,2026-01-27 11:00:00+00:00,2026-01-27 16:00:00+00:00,SHORT,25928.4,26000.51837,26000.51837,8,449.7498,-449.7498,SL,224425.1297
SPX500_USD,2026-01-27 12:00:00+00:00,2026-01-27 20:00:00+00:00,LONG,6974.6,6987.0,6961.72028,45,448.8503,435.9375,EOD,224861.0672
AUD_USD,2026-01-28 01:00:00+00:00,2026-01-28 21:00:00+00:00,LONG,0.69862,0.7041,0.70117,176362,449.7221,755.0498,EXIT_MODEL,225616.117
DE30_EUR,2026-01-28 04:00:00+00:00,2026-01-28 12:00:00+00:00,SHORT,24924.6,24846.04038,24846.04038,7,451.2322,470.0148,TRAIL_SL,226086.1318
USD_JPY,2026-01-28 06:00:00+00:00,2026-01-28 15:00:00+00:00,LONG,152.65,152.78219,152.78219,668363,452.1723,451.7814,TRAIL_SL,226537.9132
EUR_USD,2026-01-28 09:00:00+00:00,2026-01-29 09:00:00+00:00,SHORT,1.19869,1.19558,1.20225,127268,453.0758,309.2215,MAX_BARS,226847.1347
SPX500_USD,2026-01-28 10:00:00+00:00,2026-01-28 16:00:00+00:00,SHORT,7013.2,6977.5,7001.46512,49,453.6943,1366.6406,EXIT_MODEL,228213.7753
NAS100_USD,2026-01-28 10:00:00+00:00,2026-01-28 16:00:00+00:00,SHORT,26214.4,26016.2,26157.74584,10,456.4276,1548.4375,EXIT_MODEL,229762.2128
GBP_USD,2026-01-28 11:00:00+00:00,2026-01-29 04:00:00+00:00,LONG,1.37698,1.38392,1.37809,413986,459.5244,2244.5803,EXIT_MODEL,232006.7931
DE30_EUR,2026-01-29 04:00:00+00:00,2026-01-29 08:00:00+00:00,SHORT,24896.2,24785.84397,24785.84397,5,464.0136,471.607,TRAIL_SL,232478.4001
AUD_USD,2026-01-29 04:00:00+00:00,2026-01-29 13:00:00+00:00,SHORT,0.70904,0.70693,0.70693,220359,464.9568,363.248,TRAIL_SL,232841.6481
USD_CHF,2026-01-29 04:00:00+00:00,2026-01-30 04:00:00+00:00,LONG,0.76521,0.7684,0.76229,156206,465.6833,506.6302,MAX_BARS,233348.2783
GBP_USD,2026-01-29 04:00:00+00:00,2026-01-29 15:00:00+00:00,SHORT,1.38392,1.38229,1.38229,286317,466.6966,364.6068,TRAIL_SL,233712.8851
USD_JPY,2026-01-29 07:00:00+00:00,2026-01-30 02:00:00+00:00,SHORT,153.311,153.80783,153.80783,184624,467.4258,-465.9159,SL,233246.9692
NAS100_USD,2026-01-29 11:00:00+00:00,2026-01-29 14:00:00+00:00,SHORT,26098.6,25949.74519,25949.74519,4,466.4939,465.1713,TRAIL_SL,233712.1405
SPX500_USD,2026-01-29 11:00:00+00:00,2026-01-29 14:00:00+00:00,SHORT,6997.4,6980.45157,6980.45157,35,467.4243,463.4336,TRAIL_SL,234175.5741
EUR_USD,2026-01-29 12:00:00+00:00,2026-01-30 12:00:00+00:00,SHORT,1.19613,1.19194,1.1993,147745,468.3511,483.634,MAX_BARS,234659.2081
DE30_EUR,2026-01-30 05:00:00+00:00,2026-01-30 08:00:00+00:00,LONG,24448.6,24334.66846,24334.66846,5,469.3184,-469.3184,SL,234189.8897
GBP_USD,2026-01-30 07:00:00+00:00,2026-01-30 20:00:00+00:00,SHORT,1.37695,1.36832,1.37438,182249,468.3798,1228.7569,FRIDAY_CLOSE,235418.6466
USD_CHF,2026-01-30 07:00:00+00:00,2026-01-30 20:00:00+00:00,LONG,0.76744,0.77304,0.76805,758220,470.8373,4291.1266,FRIDAY_CLOSE,239709.7732
USD_JPY,2026-01-30 07:00:00+00:00,2026-01-30 14:00:00+00:00,LONG,153.809,154.466,153.88081,1314385,479.4195,4367.6225,EXIT_MODEL,244077.3957
AUD_USD,2026-01-30 08:00:00+00:00,2026-01-30 20:00:00+00:00,SHORT,0.70046,0.69632,0.70364,153508,488.1548,496.5024,FRIDAY_CLOSE,244573.8981
NAS100_USD,2026-01-30 11:00:00+00:00,2026-01-30 20:00:00+00:00,SHORT,25772.6,25575.8,25932.16138,4,489.1478,615.0,EOD,245188.8981
AUD_USD,2026-02-01 22:00:00+00:00,2026-02-02 22:00:00+00:00,LONG,0.69408,0.69488,0.69061,141319,490.3778,88.3244,MAX_BARS,245277.2225
